目标,口径,字段,独立能力,分解式门控,门控判零
115号母线电压相角,未剥离,area_1_load_actual_mw,0.12270028071381633,0.013316706754267216,False
115号母线电压相角,未剥离,area_2_load_actual_mw,0.09508445443804459,0.0,True
115号母线电压相角,未剥离,area_3_load_actual_mw,0.06730591155677679,0.0,True
115号母线电压相角,未剥离,system_load_actual_mw,0.10070189119967832,0.0,True
115号母线电压相角,未剥离,area_1_load_day_ahead_mw,0.1220009044696041,0.0,True
115号母线电压相角,未剥离,area_2_load_day_ahead_mw,0.09417289406891838,0.0,True
115号母线电压相角,未剥离,area_3_load_day_ahead_mw,0.06460382215919425,0.0,True
115号母线电压相角,未剥离,system_load_day_ahead_mw,0.10092801263529327,0.0,True
115号母线电压相角,未剥离,system_generation_mw,0.10240471331367229,0.0,True
115号母线电压相角,未剥离,system_losses_mw,0.5876205435816704,0.0,True
115号母线电压相角,未剥离,area_1_net_export_mw,0.3032680380332031,0.0066780271008610725,True
115号母线电压相角,未剥离,area_2_net_export_mw,0.37138523769011744,0.0,True
115号母线电压相角,未剥离,area_3_net_export_mw,0.1939497036320561,0.0,True
115号母线电压相角,未剥离,reserve_reg_up_mw,0.22322069175892112,0.0,True
115号母线电压相角,未剥离,reserve_reg_down_mw,0.17930127717844113,0.0,True
115号母线电压相角,未剥离,reserve_spin_r1_mw,0.12189785592626978,0.0,True
115号母线电压相角,未剥离,reserve_spin_r2_mw,0.09496691416623793,0.0,True
115号母线电压相角,未剥离,reserve_spin_r3_mw,0.06724818253291964,0.0,True
115号母线电压相角,未剥离,gen_fuel_coal_mw,0.2886879859576226,0.0,True
115号母线电压相角,未剥离,gen_fuel_natural_gas_mw,0.17102499192571674,0.0,True
115号母线电压相角,未剥离,gen_fuel_nuclear_mw,0.2056270844644802,0.0,True
115号母线电压相角,未剥离,gen_fuel_hydro_mw,0.04781429083093158,0.0,True
115号母线电压相角,未剥离,gen_fuel_wind_mw,0.4212176730463897,0.0,True
115号母线电压相角,未剥离,gen_fuel_solar_mw,-0.00016221514576408858,0.0,True
115号母线电压相角,未剥离,area_1_fuel_coal_mw,0.37340662959404725,0.0700983926653862,False
115号母线电压相角,未剥离,area_1_fuel_natural_gas_mw,0.11662156845743654,0.021169517189264297,False
115号母线电压相角,未剥离,area_1_fuel_nuclear_mw,0.2056270844644802,0.022246770560741425,False
115号母线电压相角,未剥离,area_1_fuel_hydro_mw,0.027928270191788895,0.019393905997276306,False
115号母线电压相角,未剥离,area_1_fuel_wind_mw,0.5084325205150604,0.046803928911685944,False
115号母线电压相角,未剥离,area_1_fuel_solar_mw,0.004636037346893995,0.0,True
115号母线电压相角,未剥离,area_1_generation_mw,0.12113745423380495,0.0,True
115号母线电压相角,未剥离,area_2_fuel_coal_mw,0.06633167734886047,0.006934761069715023,True
115号母线电压相角,未剥离,area_2_fuel_natural_gas_mw,0.08103904620872837,0.0,True
115号母线电压相角,未剥离,area_2_fuel_hydro_mw,0.030625955603899024,0.0,True
115号母线电压相角,未剥离,area_2_fuel_solar_mw,0.0010412982094067935,0.0,True
115号母线电压相角,未剥离,area_2_generation_mw,0.10291337664234257,0.0,True
115号母线电压相角,未剥离,area_3_fuel_coal_mw,0.10486380041125776,0.0,True
115号母线电压相角,未剥离,area_3_fuel_natural_gas_mw,0.1427057148625096,0.0,True
115号母线电压相角,未剥离,area_3_fuel_hydro_mw,0.015222955413559447,0.0,True
115号母线电压相角,未剥离,area_3_fuel_wind_mw,0.3187841583136819,0.0,True
115号母线电压相角,未剥离,area_3_fuel_solar_mw,0.0008991067931614083,0.02044355310499668,False
115号母线电压相角,未剥离,area_3_generation_mw,0.07499571315782971,0.0,True
115号母线电压相角,未剥离,hour_of_day,0.0605163154932562,0.0,True
115号母线电压相角,未剥离,day_of_week,0.02022748150531173,0.0,True
115号母线电压相角,未剥离,month_of_year,0.04675578844739681,0.0,True
