wind_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_multiple_fuels_pct,gen_fuel_other_renewables_pct,gen_fuel_wind_pct,rmccp,rmpcp,total_pjm_reg_purchases,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_nsr_mw_primary_reserve,system_energy_price_da,system_energy_price_rt,total_lmp_rt,marginal_loss_price_rt,gross_sched_interchange_mw
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.41690287,0.4888284,0.5251431,0.5230378,0.57288206,0.44629204,0.49502572,0.4913035,0.4610023,0.53170353,0.5022588,0.56216365,0.47993997,0.48580536,0.40908724,0.45065293,0.527391,0.5483163,0.44573885,0.52166885,0.40243462,0.50448036,0.5273135,0.4932815,0.4609177,0.5139927,0.51311284,0.42973068,0.45875245,0.4200691,0.4369881,0.47742105,0.61471474
0.39461297,0.5168944,0.56831414,0.5216565,0.60328037,0.45265293,0.5012679,0.46079034,0.4594012,0.5754467,0.55122274,0.60581106,0.5061657,0.48590636,0.36629745,0.44789708,0.553436,0.5929945,0.42381194,0.53330314,0.3576042,0.49502125,0.5260155,0.48853135,0.4222997,0.5022793,0.5171088,0.38734704,0.52858347,0.39428982,0.43881333,0.48593703,0.7001995
0.39621004,0.5399938,0.5831526,0.5292171,0.64793,0.42640063,0.5121474,0.4292347,0.46787682,0.597642,0.57254153,0.6433551,0.55264634,0.4673168,0.3331857,0.43499935,0.5751674,0.62475485,0.38502672,0.56756574,0.32974088,0.49067265,0.5277456,0.49701574,0.38416138,0.4933871,0.5536548,0.33688778,0.5899041,0.38420603,0.43705022,0.51732934,0.766832
0.37419468,0.55990136,0.6032379,0.5254364,0.6835587,0.40907142,0.5597784,0.40783206,0.46414378,0.6205253,0.6003136,0.6800947,0.5752727,0.45650542,0.28003472,0.41699004,0.59323746,0.6493626,0.3406204,0.59019464,0.319025,0.5154795,0.5215448,0.5138546,0.3349507,0.48639226,0.5877218,0.28974032,0.6364404,0.35263258,0.4192436,0.54812825,0.8277738
0.3843393,0.5813673,0.6362522,0.5259984,0.73310465,0.39998606,0.6280662,0.38928318,0.45829213,0.6560948,0.63603073,0.7179907,0.6292138,0.4331628,0.2214782,0.40992266,0.5920666,0.68665606,0.30661118,0.61286956,0.30298352,0.524586,0.5231146,0.5376444,0.29922357,0.4860585,0.626645,0.24243313,0.67827266,0.3242238,0.41516206,0.5828303,0.88481146
0.37715122,0.6127011,0.6686754,0.5196413,0.7741941,0.38009906,0.6702164,0.36759186,0.45102862,0.687779,0.65956694,0.755879,0.65152293,0.42835313,0.16443686,0.38393658,0.5834377,0.70533967,0.25773463,0.6339734,0.29157892,0.5414297,0.51733017,0.5482251,0.24133913,0.47882852,0.6662771,0.19525763,0.74662113,0.2947826,0.3923861,0.6172614,0.9320631
0.383969,0.6565757,0.7055258,0.5120866,0.80749154,0.36497867,0.7274654,0.3454236,0.45161608,0.7357872,0.6837434,0.7803104,0.6923627,0.41275892,0.11166376,0.3740238,0.5836236,0.726635,0.20689343,0.6415052,0.27344942,0.55864584,0.5282158,0.5688807,0.18699656,0.48763305,0.69560796,0.12035279,0.8119161,0.2650207,0.36167163,0.6469949,0.979568
0.40120572,0.6781453,0.72559994,0.511191,0.8571464,0.34142187,0.80967605,0.31702164,0.42777783,0.7769776,0.7106504,0.81497157,0.71368885,0.3986267,0.036631905,0.35187936,0.5793855,0.7418967,0.15359679,0.6595119,0.25802767,0.57594174,0.52940243,0.59344786,0.12702675,0.4800724,0.73244303,0.062078677,0.86761117,0.22455509,0.33116177,0.6766868,1.0
0.4292774,0.7098764,0.7604937,0.49632093,0.9033363,0.32207972,0.87318194,0.29546082,0.42776525,0.8198669,0.7375756,0.8442877,0.72756076,0.3884323,0.0,0.32310307,0.5724847,0.7656591,0.097704396,0.6618099,0.23641439,0.5909516,0.5376616,0.6097311,0.05399168,0.48280445,0.77649194,0.0,0.92061216,0.19628158,0.31497794,0.70043707,1.0
