n_fields,test_r2,fields
1,0.11703561454280043,gen_fuel_coal_mw
2,0.2835856581773828,gen_fuel_coal_mw|gen_fuel_natural_gas_mw
3,0.8020599881200425,gen_fuel_coal_mw|gen_fuel_natural_gas_mw|system_losses_mw
5,0.9035908942536872,gen_fuel_coal_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_solar_mw
8,0.9498737611329352,gen_fuel_coal_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_2_net_export_mw|area_1_net_export_mw|gen_fuel_nuclear_mw
10,0.9456951043584715,gen_fuel_coal_mw|gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_solar_mw|area_2_net_export_mw|area_1_net_export_mw|gen_fuel_nuclear_mw|reserve_reg_down_mw|reserve_reg_up_mw
