field,gate_seed_42,gate_seed_43,gate_seed_44,gate_mean,gate_std,selection_frequency,consensus_active
gen_fuel_coal_mw,0.17511285841464996,0.17768768966197968,0.16584807634353638,0.17288286983966827,0.005084206350147724,3,1
gen_fuel_natural_gas_mw,0.1429152488708496,0.1388089656829834,0.15087810158729553,0.14420077204704285,0.005010352004319429,3,1
system_losses_mw,0.11169424653053284,0.11811979115009308,0.10716981440782547,0.1123279556632042,0.004492711275815964,3,1
gen_fuel_wind_mw,0.10715821385383606,0.09934596717357635,0.08435468375682831,0.09695295244455338,0.009462033398449421,3,1
gen_fuel_solar_mw,0.10099870711565018,0.09270313382148743,0.08980931341648102,0.0945037230849266,0.004742166493088007,3,1
area_2_net_export_mw,0.09834834188222885,0.08610715717077255,0.09253067523241043,0.09232872724533081,0.004999482538551092,3,1
area_1_net_export_mw,0.07727605104446411,0.07262809574604034,0.07281368970870972,0.07423927634954453,0.0021486585028469563,3,1
gen_fuel_nuclear_mw,0.027919624000787735,0.030068103224039078,0.029377616941928864,0.029121780768036842,0.0008955741650424898,3,1
reserve_reg_down_mw,0.0,0.0,0.0,0.0,0.0,0,0
reserve_reg_up_mw,0.0,0.0,0.0,0.0,0.0,0,0
