方法,说明,n,前n个字段
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.8835466418597443,area_3_fuel_wind_mw|system_losses_mw|area_1_fuel_coal_mw|area_3_fuel_solar_mw|area_1_fuel_wind_mw|gen_fuel_nuclear_mw
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.8802924127868789,system_losses_mw|area_1_fuel_wind_mw|area_3_fuel_solar_mw|area_1_fuel_coal_mw|area_3_fuel_coal_mw|area_3_fuel_wind_mw
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.8539973542920272,area_1_fuel_wind_mw|system_losses_mw|area_3_fuel_solar_mw|gen_fuel_nuclear_mw|area_1_fuel_nuclear_mw|area_3_fuel_coal_mw
XGBoost,树模型特征重要性（2016）,0.8476240683454019,area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_3_fuel_coal_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw|system_losses_mw
Lasso,线性稀疏（1996）,0.8522091087954738,area_1_fuel_wind_mw|area_3_fuel_solar_mw|system_losses_mw|gen_fuel_nuclear_mw|area_1_fuel_nuclear_mw|area_3_fuel_coal_mw
Pearson,相关系数排序（只看两两关系）,0.8653824624246224,area_1_fuel_wind_mw|gen_fuel_wind_mw|area_3_fuel_wind_mw|system_losses_mw|area_3_fuel_solar_mw|gen_fuel_solar_mw
