tau,平均选中数,最少,最多,与目标字段数之差
0.02,15.083333333333334,9,20,1.7916666666666679
0.05,8.25,3,12,5.041666666666666
0.08,5.75,2,9,7.541666666666666
0.12,4.833333333333333,2,8,8.458333333333332
0.2,2.8333333333333335,1,6,10.458333333333332
0.3,2.0833333333333335,1,4,11.208333333333332
