tau,平均选中数,最少,最多,与目标字段数之差
0.3,13.916666666666666,3,19,0.625
0.2,17.166666666666668,5,22,3.8750000000000018
0.12,18.416666666666668,7,24,5.125000000000002
0.08,19.25,12,24,5.958333333333334
0.05,19.916666666666668,12,24,6.625000000000002
0.02,21.416666666666668,19,24,8.125000000000002
