epoch,active_gt_0.1,active_gt_0.01,active_gt_0.001,active_gt_0.0001
0,55,55,55,55
1,55,55,55,55
2,55,55,55,55
3,55,55,55,55
4,55,55,55,55
5,55,55,55,55
6,55,55,55,55
7,55,55,55,55
8,55,55,55,55
9,55,55,55,55
10,55,55,55,55
11,55,55,55,55
12,55,55,55,55
13,55,55,55,55
14,55,55,55,55
15,55,55,55,55
16,55,55,55,55
17,55,55,55,55
18,55,55,55,55
19,55,55,55,55
20,55,55,55,55
21,55,55,55,55
22,55,55,55,55
23,55,55,55,55
24,55,55,55,55
25,55,55,55,55
26,55,55,55,55
27,55,55,55,55
28,55,55,55,55
29,55,55,55,55
30,55,55,55,55
31,55,55,55,55
32,55,55,55,55
33,55,55,55,55
34,55,55,55,55
35,54,55,55,55
36,53,55,55,55
37,53,55,55,55
38,51,55,55,55
39,48,55,55,55
40,48,55,55,55
41,48,55,55,55
42,48,55,55,55
43,47,55,55,55
44,47,55,55,55
45,46,55,55,55
46,45,55,55,55
47,45,55,55,55
48,45,55,55,55
49,45,54,55,55
50,45,54,55,55
51,44,54,55,55
52,44,54,55,55
53,43,54,55,55
54,41,54,55,55
55,41,53,55,55
56,41,52,55,55
57,41,52,54,55
58,39,51,54,55
59,39,50,54,55
60,38,50,54,55
61,38,50,54,55
62,38,50,54,55
63,37,50,54,54
64,37,50,53,54
65,36,50,53,54
66,36,50,52,54
67,34,48,52,54
68,34,48,51,54
69,33,47,51,53
70,33,47,50,53
71,33,46,50,53
72,31,46,50,52
73,31,46,50,52
74,31,45,50,51
75,31,45,50,51
76,31,45,49,51
77,31,44,49,50
78,31,42,48,50
79,30,42,48,50
80,29,42,46,50
81,29,42,46,49
82,29,42,46,49
83,28,42,45,49
84,28,42,45,49
85,27,42,45,48
86,26,42,44,46
87,26,42,44,46
88,25,41,44,45
89,25,41,44,45
90,24,41,44,45
91,24,41,44,45
92,24,41,44,44
93,24,41,44,44
94,24,41,44,44
95,24,40,44,44
96,24,39,44,44
97,23,38,43,44
98,23,37,43,44
99,23,37,43,44
100,23,37,43,44
101,23,37,43,44
102,23,37,42,44
103,23,37,42,44
104,23,37,42,43
105,23,36,42,43
106,23,35,41,43
107,23,35,39,43
108,23,35,39,43
109,23,35,39,42
110,23,35,38,42
111,23,35,38,41
112,23,35,38,41
113,23,34,38,39
114,23,34,37,39
115,23,34,37,39
116,21,33,37,39
117,21,33,37,39
118,21,33,37,38
119,19,33,37,37
120,18,33,37,37
121,18,33,37,37
122,18,33,37,37
123,18,32,37,37
124,18,32,36,37
125,18,31,36,37
126,17,31,36,37
127,17,31,35,37
128,17,31,35,37
129,17,31,35,37
130,17,31,35,37
131,17,31,35,37
132,17,31,35,36
133,17,31,35,35
134,17,30,35,35
135,17,30,34,35
136,17,30,34,35
137,17,30,33,35
138,17,30,33,35
139,17,30,33,35
140,17,30,33,35
141,17,30,32,35
142,17,30,32,35
143,17,30,32,35
144,17,30,32,35
145,17,30,32,33
146,17,30,32,33
147,17,30,32,33
148,17,30,32,33
149,17,30,32,32
150,17,30,32,32
151,17,29,32,32
152,17,29,32,32
153,17,29,32,32
154,17,29,32,32
155,17,29,32,32
156,17,29,32,32
157,17,29,32,32
158,15,29,32,32
159,16,29,32,32
160,15,29,31,32
161,15,29,31,32
162,15,29,31,32
163,15,29,31,32
164,15,29,31,32
165,15,29,31,32
166,15,29,31,32
167,15,29,30,32
168,15,29,30,32
169,15,29,30,32
170,15,29,30,32
171,15,29,30,32
172,15,28,30,31
173,15,28,30,31
174,15,27,30,31
175,15,26,30,30
176,15,26,30,30
177,15,26,30,30
178,15,26,30,30
179,15,26,30,30
180,15,26,30,30
181,15,25,30,30
182,15,25,30,30
183,15,25,30,30
184,15,25,30,30
185,15,25,30,30
186,15,25,29,30
187,15,25,29,30
188,15,25,29,30
189,15,25,28,30
190,15,25,28,30
191,15,25,28,30
192,15,25,28,30
193,15,25,27,29
194,15,24,27,29
195,15,24,27,29
196,15,24,27,29
197,15,24,27,28
198,15,24,27,28
199,15,24,27,28
200,15,24,27,28
