方法,说明,n,前n个字段,target,中文名,budget,full_r2,n_pool
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.927613873596672,gen_fuel_gas_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|total_losses|gen_fuel_multiple_fuels_pct|gen_fuel_nuclear_mw|gross_sched_interchange_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_gas_pct|wind_generation_mw|system_energy_price_da|marginal_loss_price_da|total_lmp_da|total_pjm_assigned_reg|da_as_as_mw_synchronized_reserve|rmpcp,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.9139103533448614,total_losses|marginal_loss_price_da|total_lmp_da|system_energy_price_da|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_req_mw_synchronized_reserve|total_pjm_rmpcp_cr|total_pjm_assigned_reg|gen_fuel_other_renewables_pct|gen_fuel_multiple_fuels_pct|gross_sched_interchange_mw|gen_fuel_coal_pct|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_gas_mw|gen_fuel_other_renewables_mw,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9144886086749043,gross_sched_interchange_mw|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_mw_thirty_minutes_reserve|total_pjm_assigned_reg|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_losses|gen_fuel_nuclear_mw|total_pjm_rmpcp_cr|da_as_as_mw_synchronized_reserve|gen_fuel_wind_mw|system_energy_price_da|total_lmp_da|gen_fuel_coal_mw|gen_fuel_coal_pct|wind_generation_mw|da_as_as_req_mw_primary_reserve,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
XGBoost,树模型特征重要性（2016）,0.9058178417726908,da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_multiple_fuels_pct|da_as_as_req_mw_primary_reserve|gross_sched_interchange_mw|gen_fuel_nuclear_mw|marginal_loss_price_da|total_losses|system_energy_price_da|total_pjm_reg_purchases|total_lmp_da|gen_fuel_coal_mw|total_pjm_assigned_reg|gen_fuel_gas_mw|gen_fuel_other_renewables_pct|marginal_loss_price_rt|gen_fuel_coal_pct|total_pjm_rmpcp_cr,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
Lasso,线性稀疏（1996）,0.90949914002934,gen_fuel_coal_mw|gen_fuel_coal_pct|total_losses|gross_sched_interchange_mw|gen_fuel_multiple_fuels_pct|total_lmp_da|wind_generation_mw|gen_fuel_nuclear_mw|total_pjm_reg_purchases|da_as_as_mw_thirty_minutes_reserve|gen_fuel_gas_pct|da_as_as_req_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|total_pjm_rmpcp_cr|gen_fuel_storage_mw|total_pjm_assigned_reg|gen_fuel_oil_mw,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
Pearson,相关系数排序（只看两两关系）,0.874965508443028,gross_sched_interchange_mw|da_as_as_req_mw_synchronized_reserve|da_as_as_req_mw_primary_reserve|da_as_as_req_mw_thirty_minutes_reserve|gen_fuel_nuclear_mw|da_as_as_mw_thirty_minutes_reserve|da_as_as_mw_primary_reserve|da_as_as_mw_synchronized_reserve|gen_fuel_multiple_fuels_pct|gen_fuel_gas_mw|total_pjm_assigned_reg|total_pjm_reg_purchases|gen_fuel_gas_pct|gen_fuel_other_renewables_mw|total_pjm_rmpcp_cr|gen_fuel_wind_pct|gen_fuel_multiple_fuels_mw,net_actual_interchange_mw,净实际交换功率,17,0.9189420600147613,36
DGatingDNN,本文方法：可微稀疏门控（NeurIPS 2025）,0.9865770603811771,gen_fuel_hydro_mw|gen_fuel_hydro_pct|gen_fuel_solar_mw|gen_fuel_solar_pct|system_energy_price_da|gen_fuel_other_renewables_pct|gen_fuel_other_renewables_mw|total_losses|gen_fuel_nuclear_mw,metered_load_mw,计量负荷,9,0.9911882461507994,29
STG,随机门控，高斯松弛逼近 L0（ICML 2020）,0.977462369328384,total_losses|system_energy_price_da|gen_fuel_other_renewables_pct|gen_fuel_solar_mw|gen_fuel_other_renewables_mw|gen_fuel_coal_pct|gen_fuel_nuclear_mw|gen_fuel_multiple_fuels_mw|gen_fuel_hydro_mw,metered_load_mw,计量负荷,9,0.9911882461507994,29
LassoNet,神经网络旁挂线性通路的特征级稀疏（JMLR 2021）,0.9740187681246203,gen_fuel_other_renewables_pct|gen_fuel_oil_mw|total_losses|gen_fuel_nuclear_mw|gen_fuel_hydro_mw|gen_fuel_coal_pct|gen_fuel_other_renewables_mw|gen_fuel_multiple_fuels_mw|gen_fuel_solar_mw,metered_load_mw,计量负荷,9,0.9911882461507994,29
XGBoost,树模型特征重要性（2016）,0.9743296601789133,gen_fuel_oil_mw|system_energy_price_da|gen_fuel_other_renewables_pct|gen_fuel_nuclear_mw|total_losses|gen_fuel_other_renewables_mw|gen_fuel_solar_mw|da_as_as_mw_thirty_minutes_reserve|gen_fuel_coal_pct,metered_load_mw,计量负荷,9,0.9911882461507994,29
