处置方式,target,中文名,选中数,R2
未处置,bus_115_va_deg,节点115电压相角,7,0.9799413312032131
加噪30%,bus_115_va_deg,节点115电压相角,7,0.9071413746268149
加噪40%,bus_115_va_deg,节点115电压相角,7,0.8664649704784226
加噪50%,bus_115_va_deg,节点115电压相角,7,0.8198366165126815
加噪60%,bus_115_va_deg,节点115电压相角,7,0.7669688727663828
聚合12h,bus_115_va_deg,节点115电压相角,7,0.6498466315078615
聚合24h,bus_115_va_deg,节点115电压相角,7,0.4530542664725524
未处置,bus_215_va_deg,节点215电压相角,9,0.960408034373721
加噪30%,bus_215_va_deg,节点215电压相角,9,0.8953918951133449
加噪40%,bus_215_va_deg,节点215电压相角,9,0.8709822558224426
加噪50%,bus_215_va_deg,节点215电压相角,9,0.8395096774536173
加噪60%,bus_215_va_deg,节点215电压相角,9,0.8034494025317304
聚合12h,bus_215_va_deg,节点215电压相角,9,0.4959557794803433
聚合24h,bus_215_va_deg,节点215电压相角,9,0.3743688869632642
未处置,bus_315_va_deg,节点315电压相角,7,0.9632693895620178
加噪30%,bus_315_va_deg,节点315电压相角,7,0.9000822455965911
加噪40%,bus_315_va_deg,节点315电压相角,7,0.8627910655359322
加噪50%,bus_315_va_deg,节点315电压相角,7,0.8225267562994142
加噪60%,bus_315_va_deg,节点315电压相角,7,0.7784026269701368
聚合12h,bus_315_va_deg,节点315电压相角,7,0.5373309431711413
聚合24h,bus_315_va_deg,节点315电压相角,7,0.4150976846146115
未处置,branch_ab1_loading_pct,线路AB1负载率,7,0.9616055162618513
加噪30%,branch_ab1_loading_pct,线路AB1负载率,7,0.5214219836388467
加噪40%,branch_ab1_loading_pct,线路AB1负载率,7,0.38354912620317705
加噪50%,branch_ab1_loading_pct,线路AB1负载率,7,0.27824787855944366
加噪60%,branch_ab1_loading_pct,线路AB1负载率,7,0.19351961631224712
聚合12h,branch_ab1_loading_pct,线路AB1负载率,7,0.6538648129591317
聚合24h,branch_ab1_loading_pct,线路AB1负载率,7,0.49414080443832675
未处置,branch_ab2_loading_pct,线路AB2负载率,11,0.9767851724220087
加噪30%,branch_ab2_loading_pct,线路AB2负载率,11,0.8937772544559401
加噪40%,branch_ab2_loading_pct,线路AB2负载率,11,0.8651761515865201
加噪50%,branch_ab2_loading_pct,线路AB2负载率,11,0.8317110350904545
加噪60%,branch_ab2_loading_pct,线路AB2负载率,11,0.7991677474778415
聚合12h,branch_ab2_loading_pct,线路AB2负载率,11,0.5058358176392818
聚合24h,branch_ab2_loading_pct,线路AB2负载率,11,0.3595549436923243
未处置,branch_ab3_loading_pct,线路AB3负载率,9,0.9086988861041618
加噪30%,branch_ab3_loading_pct,线路AB3负载率,9,0.6883855162374668
加噪40%,branch_ab3_loading_pct,线路AB3负载率,9,0.6269842869155566
加噪50%,branch_ab3_loading_pct,线路AB3负载率,9,0.5665650974894008
加噪60%,branch_ab3_loading_pct,线路AB3负载率,9,0.5120770179540437
聚合12h,branch_ab3_loading_pct,线路AB3负载率,9,0.22741939207103257
聚合24h,branch_ab3_loading_pct,线路AB3负载率,9,0.08723767286854567
未处置,branch_ca_1_loading_pct,线路CA-1负载率,11,0.9681977650914451
加噪30%,branch_ca_1_loading_pct,线路CA-1负载率,11,0.9117646558502569
加噪40%,branch_ca_1_loading_pct,线路CA-1负载率,11,0.8844190766286473
加噪50%,branch_ca_1_loading_pct,线路CA-1负载率,11,0.8551506381993276
加噪60%,branch_ca_1_loading_pct,线路CA-1负载率,11,0.8226386164067977
聚合12h,branch_ca_1_loading_pct,线路CA-1负载率,11,0.4310041299507208
聚合24h,branch_ca_1_loading_pct,线路CA-1负载率,11,0.2965543216715987
未处置,branch_cb_1_loading_pct,线路CB-1负载率,12,0.97185511082534
加噪30%,branch_cb_1_loading_pct,线路CB-1负载率,12,0.9011368676584481
加噪40%,branch_cb_1_loading_pct,线路CB-1负载率,12,0.8708892635756048
加噪50%,branch_cb_1_loading_pct,线路CB-1负载率,12,0.8392502702905309
加噪60%,branch_cb_1_loading_pct,线路CB-1负载率,12,0.8089577619615197
聚合12h,branch_cb_1_loading_pct,线路CB-1负载率,12,0.4886662213892561
聚合24h,branch_cb_1_loading_pct,线路CB-1负载率,12,0.3519406363725992
未处置,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.9990158298957732
加噪30%,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.8112704977912576
加噪40%,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.7243493195929531
加噪50%,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.6394852670768596
加噪60%,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.5577071707089942
聚合12h,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.5151630682703456
聚合24h,gen_121_nuclear_1_pg_mw,机组121核电出力,4,0.40001382078257364
未处置,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.9974364970533391
加噪30%,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.7523112204062053
加噪40%,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.6947047995009646
加噪50%,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.6446895121196689
加噪60%,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.5906415049094833
聚合12h,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.24711767285912845
聚合24h,gen_218_cc_1_pg_mw,机组218联合循环出力,4,0.18349771056510156
未处置,gen_317_wind_1_pg_mw,机组317风电出力,11,0.9213162260045409
加噪30%,gen_317_wind_1_pg_mw,机组317风电出力,11,0.8173440865884707
加噪40%,gen_317_wind_1_pg_mw,机组317风电出力,11,0.7799061812513945
加噪50%,gen_317_wind_1_pg_mw,机组317风电出力,11,0.7486622119848467
加噪60%,gen_317_wind_1_pg_mw,机组317风电出力,11,0.7237085824511994
聚合12h,gen_317_wind_1_pg_mw,机组317风电出力,11,0.7156897634631403
聚合24h,gen_317_wind_1_pg_mw,机组317风电出力,11,0.5971943841807223
未处置,gen_321_cc_1_status,机组321投入状态,4,0.9928930758296541
加噪30%,gen_321_cc_1_status,机组321投入状态,4,0.8871690744595192
加噪40%,gen_321_cc_1_status,机组321投入状态,4,0.8544714481547278
加噪50%,gen_321_cc_1_status,机组321投入状态,4,0.8243441275419068
加噪60%,gen_321_cc_1_status,机组321投入状态,4,0.7883412114672301
聚合12h,gen_321_cc_1_status,机组321投入状态,4,0.44104391909773966
聚合24h,gen_321_cc_1_status,机组321投入状态,4,0.3310302676354143
