target,中文名,排除关注字段,剥离第一类,初筛,候选数,选中数,全量R2,选中再训练R2,未选中R2,替身字段数,选中字段,run
net_actual_interchange_mw,净实际交换功率,是,是,否,48,11,0.9673094875658859,0.9605444581825898,0.8860588332645744,1,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_nuclear_pct|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_hydro_pct|gen_fuel_wind_mw|gross_sched_interchange_mw|da_as_nsr_mw_primary_reserve|gen_fuel_oil_mw,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_net_actual_interchange_mw/DGatingDNN/run_20260812_004958
net_actual_interchange_mw,净实际交换功率,是,是,是,41,13,0.9669263407319515,0.9654309453149578,0.8430269213430743,2,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_nuclear_pct|gen_fuel_gas_pct|gen_fuel_nuclear_mw|gen_fuel_coal_pct|da_as_as_req_mw_thirty_minutes_reserve|gross_sched_interchange_mw|gen_fuel_solar_mw|wind_generation_mw|gross_inadv_interchange_mw|da_as_nsr_mw_primary_reserve|gen_fuel_multiple_fuels_pct,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_net_actual_interchange_mw/DGatingDNN/run_20260812_005412
gross_actual_interchange_mw,总实际交换功率,是,是,否,47,21,0.6506452242087606,0.6653093439278059,0.5822972788863348,4,gen_fuel_nuclear_mw|gen_fuel_gas_pct|gen_fuel_multiple_fuels_pct|system_energy_price_da|gen_fuel_coal_pct|gen_fuel_oil_mw|gen_fuel_hydro_pct|gen_fuel_other_renewables_mw|gen_fuel_wind_mw|forecast_load_mw_latest_available|da_as_as_mw_thirty_minutes_reserve|da_as_as_req_mw_primary_reserve|solar_generation_mw|da_as_ss_mw_primary_reserve|gen_fuel_coal_mw|total_pjm_reg_purchases|total_pjm_self_sched_reg|da_as_mcp_primary_reserve|total_pjm_loc_credit|total_pjm_rmpcp_cr|net_inadv_interchange_mw,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_gross_actual_interchange_mw/DGatingDNN/run_20260812_005915
gross_actual_interchange_mw,总实际交换功率,是,是,是,37,17,0.6812347631457507,0.6867969578293955,0.568356760672704,2,gen_fuel_nuclear_mw|gen_fuel_gas_pct|gen_fuel_coal_pct|gen_fuel_nuclear_pct|system_energy_price_da|gen_fuel_multiple_fuels_mw|gen_fuel_hydro_pct|da_as_as_req_mw_synchronized_reserve|gen_fuel_other_renewables_mw|gen_fuel_oil_pct|gen_fuel_solar_mw|da_as_ss_mw_primary_reserve|total_pjm_reg_purchases|da_as_nsr_mw_primary_reserve|total_pjm_assigned_reg|da_as_mcp_synchronized_reserve|marginal_loss_price_rt,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_gross_actual_interchange_mw/DGatingDNN/run_20260812_010319
net_sched_interchange_mw,净计划交换功率,是,是,否,48,11,0.9671473855846197,0.9592446694134812,0.8816761446806305,1,prelim_load_avg_hourly|gen_fuel_gas_mw|gen_fuel_nuclear_pct|gen_fuel_coal_mw|gen_fuel_nuclear_mw|gen_fuel_solar_mw|gen_fuel_hydro_pct|gross_sched_interchange_mw|gen_fuel_wind_mw|da_as_nsr_mw_primary_reserve|gen_fuel_oil_mw,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_net_sched_interchange_mw/DGatingDNN/run_20260812_010752
net_sched_interchange_mw,净计划交换功率,是,是,是,43,10,0.9675610683156864,0.9610140099196923,0.8610190881626212,2,prelim_load_avg_hourly|gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|gen_fuel_coal_mw|gross_sched_interchange_mw|gen_fuel_gas_mw|gen_fuel_hydro_mw|gen_fuel_solar_mw|da_as_nsr_mw_primary_reserve|wind_generation_mw,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_net_sched_interchange_mw/DGatingDNN/run_20260812_011420
total_gen,总发电量,是,是,否,34,3,0.9964371832410337,0.9877539279920832,0.9912369958349504,4,forecast_load_mw_latest_available|gen_fuel_nuclear_pct|da_as_as_mw_thirty_minutes_reserve,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_total_gen/DGatingDNN/run_20260812_011934
total_gen,总发电量,是,是,是,22,2,0.9954656983891175,0.9787874652045547,0.9852171480521569,3,forecast_load_mw_latest_available|gen_fuel_nuclear_pct,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_total_gen/DGatingDNN/run_20260812_012544
metered_load_mw,计量负荷,是,是,否,43,3,0.9960679285387208,0.9863926337254236,0.9951110720002716,0,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|system_energy_price_da,pjm_2025_v2/04b_source_location_excl_targets/stripped_no_screening/target_metered_load_mw/DGatingDNN/run_20260812_013026
metered_load_mw,计量负荷,是,是,是,31,3,0.9953243372842404,0.9863926337254236,0.994250137755369,0,gen_fuel_nuclear_pct|gen_fuel_nuclear_mw|system_energy_price_da,pjm_2025_v2/04b_source_location_excl_targets/stripped_with_screening/target_metered_load_mw/DGatingDNN/run_20260812_013635
