total_losses,wind_generation_mw,solar_generation_mw,gen_fuel_coal_mw,gen_fuel_gas_mw,gen_fuel_hydro_mw,gen_fuel_multiple_fuels_mw,gen_fuel_nuclear_mw,gen_fuel_oil_mw,gen_fuel_other_renewables_mw,gen_fuel_solar_mw,gen_fuel_storage_mw,gen_fuel_wind_mw,gen_fuel_coal_pct,gen_fuel_gas_pct,gen_fuel_hydro_pct,gen_fuel_multiple_fuels_pct,gen_fuel_nuclear_pct,gen_fuel_oil_pct,gen_fuel_other_renewables_pct,gen_fuel_solar_pct,gen_fuel_wind_pct,forecast_load_mw_latest_available,prelim_load_avg_hourly,metered_load_mw,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr,da_as_mcp_primary_reserve,da_as_mcp_synchronized_reserve,da_as_as_req_mw_primary_reserve,da_as_as_req_mw_synchronized_reserve,da_as_as_req_mw_thirty_minutes_reserve,da_as_as_mw_primary_reserve,da_as_as_mw_synchronized_reserve,da_as_as_mw_thirty_minutes_reserve,da_as_ss_mw_primary_reserve,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,net_inadv_interchange_mw,gross_actual_interchange_mw,gross_sched_interchange_mw,gross_inadv_interchange_mw
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1589781,0.7211178,0.735456,0.905791,1.0286657,0.75125766,0.76144487,1.0342958,0.74810845,0.95072275,0.71775687,0.8817963,0.78645486,0.90236914,0.7826044,0.7518998,1.1304393,1.0548319,0.7857817,0.7740227,0.8063717,0.77057946,0.77294284,0.8745938,0.893466,0.7300956,0.7839585,0.7715101,0.8241605,0.8490179,0.7417546,0.97095394,0.8198294,0.9615981,0.7773743,0.76245147,0.8917555,0.9256037,0.7941479,0.769077,1.0007282,0.8213608,0.77559936,0.892251,0.9242195,0.7522921,0.9316231,0.8238708,0.75589305,0.8079828,0.8211623,0.7278702,0.8630637,1.2554156,0.9849895
1.15576,0.56251734,0.5739553,0.9031843,1.0333129,0.6341527,0.62689465,0.9760019,0.64978796,0.8680586,0.58749676,0.7206161,0.66728157,0.8630785,0.60220754,0.57540745,1.0240471,1.1073511,0.6560729,0.6824502,0.60525227,0.61437196,0.62264985,0.7736019,0.88119,0.5644804,0.62880087,0.7532866,0.6929263,0.6940413,0.56578493,0.83230627,0.66766304,0.88541657,0.6506575,0.65168554,0.7478085,0.8141664,0.6885314,0.5875561,0.88915217,0.7538114,0.6077617,0.89793,0.82214785,0.5618998,0.85026884,0.68228626,0.63140756,0.64505506,0.76121634,0.54797643,0.6955297,1.1630218,0.94459766
1.08009,0.44489872,0.47200593,0.8841705,1.0199687,0.5566009,0.5165981,0.945222,0.5332862,0.80147445,0.48943198,0.6089989,0.57831585,0.83798236,0.4681618,0.45553818,0.92690927,1.1159345,0.5282328,0.6061688,0.47330457,0.5065154,0.5579527,0.78241956,0.9040104,0.419185,0.5041266,0.78923506,0.5640271,0.53937304,0.4185951,0.7058036,0.5508359,0.7486335,0.5264065,0.5238499,0.6429323,0.717619,0.6094493,0.466048,0.7651081,0.6745902,0.48611304,0.8277418,0.74777037,0.448053,0.7427697,0.538375,0.49981695,0.5452868,0.6575179,0.4150501,0.5904978,1.0947633,0.8726236
0.99920946,0.35976246,0.405757,0.8681952,0.9935087,0.5031771,0.42080733,0.927487,0.45769963,0.7669051,0.42141822,0.5119168,0.51745385,0.80158186,0.35045424,0.36020824,0.8183407,1.1147633,0.42394447,0.533015,0.3899102,0.41813517,0.5227732,0.8029874,0.9432836,0.31314498,0.38605762,0.8240051,0.48826334,0.41759965,0.3156254,0.6007341,0.43230382,0.6142133,0.42347172,0.40949872,0.5796993,0.62764996,0.54371667,0.3641926,0.6462265,0.5828124,0.38064042,0.73952234,0.6511766,0.35181707,0.63483006,0.41537797,0.4009296,0.45008612,0.5888742,0.30079803,0.5265162,1.0405782,0.8032508
0.9310859,0.29700947,0.37897724,0.83942145,0.9854164,0.46522245,0.34554476,0.9200777,0.38570833,0.6842437,0.3856098,0.41969612,0.46313366,0.69803387,0.26227626,0.26887745,0.7003998,1.1150621,0.34785888,0.46659926,0.3185846,0.35107636,0.49445578,0.8126978,0.96882045,0.22384718,0.2924767,0.8380223,0.41956392,0.3286885,0.23760495,0.50114566,0.33600172,0.4893296,0.34246832,0.31010148,0.5035642,0.5472738,0.48128262,0.2959147,0.5407839,0.5000876,0.29336634,0.63747233,0.5674959,0.2690494,0.53585726,0.33081818,0.3088683,0.37229815,0.5072614,0.21691342,0.47101313,0.9794142,0.7287747
0.87622404,0.24722508,0.35803887,0.81284124,0.9682514,0.43272525,0.28166792,0.9185548,0.3242961,0.6142466,0.357099,0.34441856,0.41890466,0.6238277,0.19036907,0.20106992,0.59764713,1.0997369,0.28440306,0.39792672,0.26273242,0.297684,0.45716608,0.8085623,0.97286,0.16516572,0.21992086,0.8420007,0.35751835,0.26749316,0.17449848,0.4132661,0.2743879,0.39265034,0.28545064,0.23765934,0.43477416,0.4678849,0.4149325,0.24698834,0.4556335,0.42347166,0.21805757,0.54034036,0.49632752,0.20858942,0.45818767,0.25956303,0.24220577,0.3069688,0.43566886,0.15933657,0.41268995,0.9157217,0.65919703
0.8321501,0.20248538,0.33821607,0.788254,0.9449451,0.40769336,0.22401708,0.8931608,0.2748661,0.5426175,0.3349408,0.2792273,0.38091257,0.5517187,0.13502613,0.14993866,0.51697683,1.0814983,0.23064281,0.33627638,0.21858273,0.2531524,0.42602196,0.8028456,0.970016,0.11620536,0.16860594,0.83858126,0.3089985,0.2249366,0.12490049,0.34329727,0.2190308,0.31701308,0.23169668,0.17748539,0.3732551,0.4014374,0.35811767,0.21315324,0.3844941,0.36055523,0.16451074,0.46270844,0.43568784,0.16175142,0.39437154,0.20468515,0.19062378,0.24936055,0.37503326,0.1135835,0.36430013,0.8590948,0.5922952
0.7875888,0.17026922,0.32067245,0.770602,0.92439175,0.3960401,0.1791423,0.8740037,0.2400035,0.46964425,0.31591818,0.22603081,0.35655788,0.48163465,0.09508756,0.11364803,0.44520342,1.0659735,0.18923491,0.28314534,0.18318152,0.21963276,0.3912744,0.78816473,0.9558929,0.08209984,0.12732282,0.82391226,0.25798348,0.1873163,0.08762116,0.28467086,0.17362987,0.25413716,0.19048768,0.13421376,0.32250792,0.35355365,0.31345323,0.19186088,0.3271022,0.30369592,0.12563883,0.39773908,0.3818954,0.12440374,0.33711842,0.16186701,0.14849396,0.2068352,0.31912363,0.08337697,0.31107897,0.7993601,0.5374474
0.7466282,0.14167926,0.2987935,0.7485147,0.9078192,0.37826207,0.14162736,0.8600096,0.21189295,0.4192248,0.29398787,0.18053874,0.33640817,0.42795923,0.06497516,0.08386293,0.3952886,1.043969,0.15313199,0.23800577,0.15008567,0.19008388,0.36080703,0.7748776,0.9441827,0.057571415,0.09896477,0.8095828,0.21073753,0.1727404,0.059674524,0.23239101,0.13233326,0.20709659,0.15866812,0.09774827,0.27315763,0.3061248,0.27335837,0.17408596,0.2745517,0.26023233,0.09337483,0.34211135,0.32833093,0.094641864,0.2858787,0.12975195,0.11031961,0.16810715,0.27381876,0.062338375,0.2708312,0.7529357,0.48854524
0.7090024,0.11552347,0.2862748,0.73200876,0.88925636,0.36610645,0.11104487,0.8330702,0.19079226,0.36821947,0.28678244,0.138032,0.3175928,0.38082463,0.044062853,0.06201953,0.34987512,1.0273466,0.121905655,0.19899698,0.12772773,0.16401587,0.33545688,0.76198536,0.9317727,0.037535537,0.07550534,0.7964804,0.17136797,0.14774783,0.038348585,0.19078253,0.1003971,0.16581725,0.13124818,0.07050002,0.23470414,0.26971096,0.24064611,0.15756708,0.24520954,0.22050549,0.071025886,0.2896059,0.27870774,0.0702551,0.24008632,0.10576789,0.08153057,0.13292883,0.22204392,0.045557383,0.23594603,0.7053233,0.4441678
0.66767657,0.09651915,0.27253705,0.71735317,0.8766195,0.35385457,0.08528639,0.81983256,0.17319241,0.3311975,0.27544898,0.10656939,0.30737892,0.3412815,0.02865386,0.045283332,0.3118756,1.0090984,0.09678028,0.16471887,0.10521583,0.1441319,0.31375533,0.7514046,0.9205494,0.024399113,0.057427846,0.78415704,0.14069286,0.13402523,0.023893312,0.1548275,0.07246771,0.13594684,0.10482178,0.04805279,0.20079559,0.23770998,0.20869376,0.15088251,0.2169504,0.1899421,0.052738927,0.24953508,0.23483527,0.051400933,0.19886936,0.08313921,0.05766036,0.10838599,0.18172254,0.03528108,0.20836584,0.66902775,0.40541312
0.6287577,0.08015259,0.26221278,0.70621556,0.85958844,0.3473763,0.065376736,0.798572,0.15982687,0.2972589,0.2693153,0.08022077,0.29867092,0.30124402,0.018065244,0.032658204,0.27865818,0.9955438,0.0764819,0.13684247,0.08767758,0.12649553,0.29229096,0.73735523,0.9062146,0.015040588,0.041630425,0.7686005,0.11387841,0.12448748,0.014567132,0.12460575,0.052839994,0.10759214,0.08607627,0.032240815,0.17242268,0.20774034,0.18124583,0.14146714,0.19787398,0.16305824,0.039614268,0.21305065,0.20090015,0.036833845,0.163791,0.0675446,0.040368333,0.089203216,0.15774246,0.029231489,0.17938437,0.6173773,0.3689338
0.58717,0.064932786,0.25294995,0.6914595,0.84324116,0.33476663,0.04874469,0.7792922,0.14532964,0.26700076,0.26387292,0.05835206,0.2871368,0.2737508,0.01094137,0.02228632,0.25263977,0.979039,0.0593798,0.111122616,0.07163964,0.10948771,0.2734423,0.7288127,0.8973688,0.009127475,0.029907454,0.75865465,0.09082749,0.11247768,0.008179392,0.10351544,0.0371788,0.08620774,0.07120973,0.021376312,0.1454804,0.182609,0.15615878,0.13074817,0.18345429,0.13986874,0.02808192,0.18164803,0.1643197,0.025809484,0.13390188,0.054386187,0.027611723,0.07188532,0.13291395,0.023975028,0.15592249,0.5695328,0.33503163
0.55138713,0.052546598,0.24137145,0.67933345,0.8295767,0.32995397,0.035566665,0.76602024,0.1363884,0.25165537,0.25649825,0.042062588,0.2805623,0.24109697,0.0062829154,0.014849279,0.23192644,0.9653378,0.04547012,0.08838678,0.0574483,0.09507406,0.25434557,0.71502787,0.8841377,0.0052002193,0.02125858,0.7442863,0.07176486,0.10744659,0.004454236,0.08318417,0.025755644,0.068010345,0.05882164,0.013607537,0.12394121,0.16213207,0.13756241,0.12723324,0.17205203,0.1205762,0.019717705,0.15350664,0.13666591,0.017598098,0.10918697,0.043834183,0.018287499,0.058390982,0.11201635,0.021119514,0.13430402,0.53777534,0.3061067
0.5203198,0.04174064,0.2315769,0.6651961,0.8150534,0.32140645,0.025294006,0.74925923,0.12537144,0.2276295,0.25165182,0.029189978,0.2728039,0.21395795,0.003476957,0.009471149,0.2048563,0.95175755,0.033453166,0.06837734,0.04547843,0.08164277,0.23686692,0.7064202,0.87385446,0.0028407935,0.014298545,0.7342371,0.055506453,0.09644833,0.0022594484,0.06757743,0.017223148,0.0527212,0.047893,0.0082532745,0.10292815,0.14028037,0.115779296,0.12405416,0.15655537,0.10110386,0.013200289,0.12670396,0.111905776,0.011750147,0.08707897,0.034456223,0.0117697595,0.047525793,0.091852434,0.018770028,0.11579627,0.5028053,0.2755692
0.49117646,0.032599043,0.2242937,0.6548292,0.801842,0.31556454,0.017556224,0.73512316,0.12019563,0.20525582,0.2501162,0.019509569,0.26723394,0.18909878,0.0018227469,0.0057929135,0.18733159,0.94008857,0.025069976,0.052296884,0.03518796,0.06965116,0.21984638,0.6949183,0.8624547,0.0014751034,0.00915699,0.7217655,0.043074697,0.09389428,0.001055637,0.053238712,0.011147883,0.039176673,0.036610033,0.004825559,0.08594481,0.123274975,0.10010699,0.11949162,0.14714622,0.08526719,0.008341162,0.109155826,0.09347952,0.007508482,0.06805981,0.026305212,0.007254454,0.038896464,0.07618033,0.01743099,0.101089165,0.4681778,0.2512611
0.4622826,0.02500089,0.21321353,0.6423167,0.78866714,0.30624786,0.011637927,0.7253629,0.11587105,0.18593168,0.24274631,0.0124297775,0.26540726,0.166516,0.00090445945,0.0033567564,0.17249382,0.9247855,0.017927999,0.038461287,0.026351057,0.05878522,0.20382924,0.6863533,0.8521511,0.00072390714,0.0055297925,0.71119463,0.03223797,0.0891268,0.00045336812,0.04154564,0.0070125544,0.028591894,0.028117223,0.0026957372,0.06959127,0.1097218,0.08425428,0.11718165,0.13909617,0.0728968,0.0050255083,0.08973912,0.07630569,0.0045311633,0.052402508,0.020044954,0.004325243,0.031770673,0.061279375,0.015435627,0.08600066,0.438156,0.22906049
0.44444308,0.018486645,0.20298098,0.6328314,0.77931964,0.2981601,0.0076452773,0.7096263,0.1090383,0.17238823,0.23807536,0.0076290364,0.257693,0.14576805,0.0004240505,0.0018589809,0.15464681,0.91703135,0.012327705,0.027596354,0.019310791,0.048365336,0.18874495,0.6753184,0.8400928,0.00033514106,0.0031473143,0.6994715,0.02341407,0.08259073,0.00017878407,0.03274761,0.0042697806,0.020286286,0.021325305,0.0014346112,0.055904448,0.09757071,0.07139413,0.1170565,0.1311472,0.062487442,0.0028368759,0.07490373,0.064099684,0.0026697146,0.0395421,0.015471463,0.0024852266,0.02810894,0.048999578,0.014664097,0.07283243,0.41198593,0.21194412
