epoch,train_loss,train_r2,test_loss,test_r2,train_total_loss,train_mse_loss,train_reg_loss
1,0.6397070572094898,0.36029279232025146,0.5008808518483486,0.36252284049987793,0.7974261747052273,0.7974261747052273,0.0
2,0.5172951553467678,0.48270469903945923,0.39963923573289833,0.49137425422668457,0.586384185224125,0.586384185224125,0.0
3,0.43725030593250847,0.5627496242523193,0.3473907591409335,0.5578714609146118,0.48121167753597716,0.48121167753597716,0.0
4,0.40295946743492395,0.5970404148101807,0.34673947845181646,0.5587003827095032,0.43177468091946897,0.43177468091946897,0.0
5,0.3893326229509391,0.6106672286987305,0.35116279831998154,0.5530707836151123,0.3990543793151198,0.3990543793151198,0.0
6,0.35669025602499577,0.6433097124099731,0.3231451252271255,0.5887292623519897,0.3752278417995259,0.3752278417995259,0.0
7,0.3461920153647321,0.6538078784942627,0.32538284243139776,0.585881233215332,0.36315143103690045,0.36315143103690045,0.0
8,0.3311194001152669,0.6688805222511292,0.3221354655747102,0.5900142192840576,0.34528368001284937,0.34528368001284937,0.0
9,0.3210803967726217,0.6789195537567139,0.3287522749354442,0.5815929174423218,0.3362431337559366,0.3362431337559366,0.0
10,0.319927797950464,0.6800721287727356,0.33360606093240314,0.5754154920578003,0.32313034940961766,0.32313034940961766,0.0
11,0.2947603554749802,0.7052395939826965,0.3176206400464863,0.5957603454589844,0.31994834251820903,0.31994834251820903,0.0
12,0.28676680310684594,0.7132331132888794,0.31236133210735234,0.6024539470672607,0.30177693544210843,0.30177693544210843,0.0
13,0.27939827194369343,0.7206016778945923,0.3072825061905806,0.608917772769928,0.29431485331545,0.29431485331545,0.0
14,0.27513236330065144,0.724867582321167,0.3171832930534806,0.596316933631897,0.2874006834178823,0.2874006834178823,0.0
15,0.26326917404878764,0.7367307543754578,0.3058354902340601,0.6107593774795532,0.2854649219343005,0.2854649219343005,0.0
16,0.261608911733479,0.7383910417556763,0.3214564955438228,0.5908783674240112,0.2728956936684237,0.2728956936684237,0.0
17,0.2505853140480034,0.7494146227836609,0.3004009552399913,0.6176760196685791,0.26806217255751225,0.26806217255751225,0.0
18,0.2576402221746811,0.7423597574234009,0.3188031217802027,0.5942553877830505,0.2619145324657837,0.2619145324657837,0.0
19,0.24315237818545232,0.7568475604057312,0.29142975052563497,0.6290937662124634,0.2545719878220735,0.2545719878220735,0.0
20,0.23389306859236603,0.7661068439483643,0.2984677709077727,0.6201363801956177,0.250629115065126,0.250629115065126,0.0
21,0.2277841690914986,0.772215723991394,0.2967566725219596,0.6223141551017761,0.24317406507242964,0.24317406507242964,0.0
22,0.22027533879656702,0.7797245979309082,0.2951094596784936,0.6244106292724609,0.2371010840710967,0.2371010840710967,0.0
23,0.2190298826293382,0.7809700965881348,0.2934076024568108,0.6265765428543091,0.23171685735554728,0.23171685735554728,0.0
24,0.21501712141490487,0.7849828004837036,0.2932007928925341,0.6268397569656372,0.22842973682042805,0.22842973682042805,0.0
25,0.21120543953788268,0.7887945175170898,0.2895178261200247,0.6315270662307739,0.22344657515077831,0.22344657515077831,0.0
26,0.20725981812481875,0.7927401065826416,0.28863540739267557,0.6326501965522766,0.2168004432880239,0.2168004432880239,0.0
27,0.23043970690538348,0.7695602178573608,0.3298039498449767,0.5802544951438904,0.21167041268412312,0.21167041268412312,0.0
28,0.19624410340664525,0.8037558794021606,0.2863604367081263,0.6355456113815308,0.2138358345637991,0.2138358345637991,0.0
29,0.19656610259781995,0.8034338355064392,0.2885099019967955,0.6328098773956299,0.20705744263303538,0.20705744263303538,0.0
30,0.19061053096588923,0.8093894124031067,0.29704374483824797,0.621948778629303,0.2056808160239465,0.2056808160239465,0.0
31,0.18814318753634346,0.811856746673584,0.28903204086980866,0.632145345211029,0.19902308578454128,0.19902308578454128,0.0
32,0.19166375427574905,0.8083361983299255,0.29079582762041184,0.6299005746841431,0.19585720078220173,0.19585720078220173,0.0
33,0.18069418120627465,0.8193057775497437,0.2932855089909512,0.6267318725585938,0.19592339307554577,0.19592339307554577,0.0
34,0.18614689571799958,0.8138530850410461,0.3071795918481195,0.6090487241744995,0.19461682853480317,0.19461682853480317,0.0
35,0.1836405459336392,0.8163594007492065,0.2923398887202756,0.6279354095458984,0.19819605503694823,0.19819605503694823,0.0
36,0.17265288514131893,0.8273470401763916,0.29608273131509216,0.623171865940094,0.18465587050977192,0.18465587050977192,0.0
37,0.17783964933087565,0.8221603631973267,0.2904558959353256,0.6303331851959229,0.17999999626799057,0.17999999626799057,0.0
38,0.16830332645376694,0.831696629524231,0.28783434754679804,0.6336697340011597,0.18375088054406113,0.18375088054406113,0.0
39,0.17115372878001772,0.8288462162017822,0.2906043823217318,0.6301442384719849,0.17571970359975106,0.17571970359975106,0.0
40,0.16580499324960354,0.8341949582099915,0.2878987634954251,0.6335877180099487,0.17867189252931948,0.17867189252931948,0.0
41,0.1639479900706032,0.8360520005226135,0.29027314102234636,0.6305657625198364,0.17170456509407797,0.17170456509407797,0.0
42,0.17699026881045232,0.823009729385376,0.29231675249656247,0.6279649138450623,0.1710100854453567,0.1710100854453567,0.0
43,0.17703777659454778,0.8229621648788452,0.31743460789229294,0.5959970951080322,0.17613397861010135,0.17613397861010135,0.0
44,0.15673862961780058,0.8432613611221313,0.29013024875043664,0.6307476758956909,0.17035441032130288,0.17035441032130288,0.0
45,0.1611470226262224,0.8388529419898987,0.29812005733577834,0.620578944683075,0.1684399031051626,0.1684399031051626,0.0
46,0.1617725115667042,0.8382274508476257,0.30786503906059826,0.6081764101982117,0.17061420026039661,0.17061420026039661,0.0
47,0.15351775231809445,0.8464822173118591,0.29038715290679645,0.6304206848144531,0.16065159991392058,0.16065159991392058,0.0
